"Latitude","Longitude","Height"
50.14583,-107.8708,835
50.14583,-107.8208,860
50.14583,-107.7708,853
50.14583,-107.7208,884
50.14583,-107.6708,866
50.14583,-107.6208,866
50.14583,-107.5708,878
50.14583,-107.5208,884
50.14583,-107.4708,884
50.14583,-107.4208,829
50.14583,-107.3708,805
50.14583,-107.3208,823
50.14583,-107.2708,792
50.14583,-107.2208,780
50.14583,-107.1708,762
50.14583,-107.1208,725
50.14583,-107.0708,707
50.14583,-107.0208,719
50.14583,-106.9708,713
50.14583,-106.9208,719
50.14583,-106.8708,713
50.14583,-106.8208,707
50.14583,-106.7708,725
50.14583,-106.7208,732
50.14583,-106.6708,725
50.14583,-106.6208,719
50.14583,-106.5708,713
50.14583,-106.5208,713
50.14583,-106.4708,701
50.14583,-106.4208,701
50.14583,-106.3708,683
50.14583,-106.3208,664
50.14583,-106.2708,664
50.14583,-106.2208,664
50.14583,-106.1708,664
50.14583,-106.1208,664
50.14583,-106.0708,664
50.14583,-106.0208,664
50.14583,-105.9708,664
50.14583,-105.9208,664
50.14583,-105.8708,664
50.14583,-105.8208,677
50.14583,-105.7708,695
50.14583,-105.7208,725
50.14583,-105.6708,732
50.14583,-105.6208,671
50.14583,-105.5708,640
50.14583,-105.5208,640
50.14583,-105.4708,640
50.14583,-105.4208,610
50.14583,-105.3708,604
50.14583,-105.3208,604
50.14583,-105.2708,597
50.14583,-105.2208,579
50.14583,-105.1708,567
50.14583,-105.1208,567
50.14583,-105.0708,567
50.14583,-105.0208,567
50.14583,-104.9708,561
50.14583,-104.9208,561
50.14583,-104.8708,567
50.14583,-104.8208,573
50.14583,-104.7708,579
50.14583,-104.7208,579
50.14583,-104.6708,585
50.14583,-104.6208,585
50.14583,-104.5708,579
50.14583,-104.5208,579
50.14583,-104.4708,579
50.14583,-104.4208,579
50.14583,-104.3708,579
50.14583,-104.3208,579
50.14583,-104.2708,579
50.14583,-104.2208,579
50.14583,-104.1708,579
50.14583,-104.1208,591
50.14583,-104.0708,591
50.14583,-104.0208,591
50.14583,-103.9708,597
50.14583,-103.9208,597
